"filename", "language", "C++", "CMake", "C", "JSON", "CMake Cache", "Dart", "Markdown", "YAML", "XML", "Swift", "HTML", "Gradle", "Properties", "comment", "blank", "total"
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\webrtc\python_connection.dart", "Dart", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 18, 18, 150
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\webrtc\transport.dart", "Dart", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 3, 17, 111
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\widget\authentication_form.dart", "Dart", 0, 0, 0, 0, 0, 356, 0, 0, 0, 0, 0, 0, 0, 3, 18, 377
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\widget\control_panel.dart", "Dart", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 13, 9, 124
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\widget\custom_button.dart", "Dart", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\widget\custom_text.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\widget\custom_text_input.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 8, 4, 62
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\widget\remote_connection.dart", "Dart", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 2, 12, 174
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\widget\remote_video_page_view.dart", "Dart", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 4, 18, 114
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\widget\responsive.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 56, 16, 102
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 18, 7, 105
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\flutter\generated_plugins.cmake", "CMake", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\.cmake\api\v1\query\client-MicrosoftVS\query.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\.cmake\api\v1\reply\cache-v2-fd44472484e575968143.json", "JSON", 0, 0, 0, 1259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1260
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\.cmake\api\v1\reply\cmakeFiles-v1-9d64d5f2b0aef39a2c85.json", "JSON", 0, 0, 0, 394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 395
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\.cmake\api\v1\reply\codemodel-v2-c6f389791ec880163841.json", "JSON", 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 167
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\.cmake\api\v1\reply\index-2022-03-19T18-34-41-0877.json", "JSON", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 133
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\.cmake\api\v1\reply\target-flutter_assemble-Debug-7fd3b1731921c52b9299.json", "JSON", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\.cmake\api\v1\reply\target-flutter_webrtc_plugin-Debug-c8a5c3dbaa6463e87da8.json", "JSON", 0, 0, 0, 354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 355
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\.cmake\api\v1\reply\target-flutter_wrapper_app-Debug-d81c25bfe819f5ae0d1d.json", "JSON", 0, 0, 0, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 272
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\.cmake\api\v1\reply\target-flutter_wrapper_plugin-Debug-39f082b1fd2dea6252b7.json", "JSON", 0, 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 263
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\.cmake\api\v1\reply\target-scmeet-Debug-d12d300d63a2ef7163a2.json", "JSON", 0, 0, 0, 409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 410
